Empresa;Número do Documento;Ano Fiscal;Data do Documento;Tipo de Documento;Número do Item;Material;Vendedor;Quantidade; Valor em Moeda Local ; Valor em Moeda Estrangeira 
2000;183476;2023;30/12/2023;VF;1;PR049;VD029;12; R$ 473,76 ; R$ 473,76 
1000;183477;2023;30/12/2023;VF;1;PR035;VD010;27; R$ 2.763,94 ; R$ 2.763,94 
2000;183478;2023;30/12/2023;VF;1;PR003;VD024;18; R$ 1.480,39 ; R$ 1.480,39 
2000;183479;2023;29/12/2023;VF;1;PR006;VD021;27; R$ 1.249,67 ; R$ 1.249,67 
1000;183479;2023;29/12/2023;VF;2;PR002;VD040;24; R$ 1.996,34 ; R$ 1.996,34 
1000;183479;2023;28/12/2023;VF;3;PR038;VD016;12; R$ 1.972,02 ; R$ 1.972,02 
1000;183480;2023;28/12/2023;VF;1;PR027;VD035;30; R$ 3.996,00 ; R$ 3.996,00 
1000;183480;2023;28/12/2023;VF;2;PR059;VD049;12; R$ 2.419,20 ; R$ 2.419,20 
1000;183480;2023;27/12/2023;VF;3;PR035;VD019;21; R$ 2.207,31 ; R$ 2.207,31 
1000;183481;2023;27/12/2023;VF;1;PR028;VD011;16; R$ 4.718,11 ; R$ 4.718,11 
1000;183482;2023;26/12/2023;VF;1;PR018;VD016;10; R$ 378,35 ; R$ 378,35 
2000;183483;2023;26/12/2023;VF;1;PR035;VD018;21; R$ 2.149,73 ; R$ 2.149,73 
1000;183483;2023;25/12/2023;VF;2;PR057;VD034;9; R$ 906,19 ; R$ 906,19 
1000;183484;2023;25/12/2023;VF;1;PR004;VD024;15; R$ 2.610,00 ; R$ 2.610,00 
1000;183485;2023;25/12/2023;VF;1;PR014;VD011;12; R$ 560,20 ; R$ 560,20 
2000;183486;2023;25/12/2023;VF;1;PR027;VD018;27; R$ 3.888,00 ; R$ 3.888,00 
1000;183487;2023;25/12/2023;VF;1;PR032;VD011;24; R$ 6.600,00 ; R$ 6.600,00 
2000;183487;2023;25/12/2023;VF;2;PR006;VD015;27; R$ 1.260,44 ; R$ 1.260,44 
2000;183488;2023;25/12/2023;VF;1;PR028;VD048;20; R$ 5.597,76 ; R$ 5.597,76 
1000;183489;2023;25/12/2023;VF;1;PR033;VD024;24; R$ 7.485,12 ; R$ 7.485,12 
1000;183490;2023;25/12/2023;VF;1;PR008;VD027;20; R$ 2.049,72 ; R$ 2.049,72 
1000;183491;2023;25/12/2023;VF;1;PR013;VD048;27; R$ 1.238,90 ; R$ 1.238,90 
1000;183492;2023;25/12/2023;VF;1;PR011;VD026;18; R$ 1.013,04 ; R$ 1.013,04 
1000;183493;2023;25/12/2023;VF;1;PR014;VD040;24; R$ 1.139,54 ; R$ 1.139,54 
2000;183494;2023;24/12/2023;VF;1;PR043;VD035;18; R$ 1.435,50 ; R$ 1.435,50 
1000;183494;2023;24/12/2023;VF;2;PR037;VD036;30; R$ 5.040,00 ; R$ 5.040,00 
1000;183494;2023;24/12/2023;VF;3;PR020;VD026;20; R$ 6.657,78 ; R$ 6.657,78 
1000;183495;2023;24/12/2023;VF;1;PR052;VD035;12; R$ 658,68 ; R$ 658,68 
1000;183495;2023;24/12/2023;VF;2;PR023;VD016;27; R$ 7.894,34 ; R$ 7.894,34 
1000;183496;2023;24/12/2023;VF;1;PR002;VD018;9; R$ 717,17 ; R$ 717,17 
1000;183496;2023;23/12/2023;VF;2;PR039;VD014;16; R$ 2.663,04 ; R$ 2.663,04 
2000;183497;2023;23/12/2023;VF;1;PR060;VD044;6; R$ 1.252,80 ; R$ 1.252,80 
1000;183498;2023;22/12/2023;VF;1;PR009;VD041;15; R$ 1.560,72 ; R$ 1.560,72 
2000;183498;2023;22/12/2023;VF;2;PR057;VD046;15; R$ 1.591,23 ; R$ 1.591,23 
1000;183498;2023;21/12/2023;VF;3;PR018;VD037;10; R$ 361,90 ; R$ 361,90 
1000;183499;2023;21/12/2023;VF;1;PR022;VD023;16; R$ 5.424,00 ; R$ 5.424,00 
1000;183499;2023;21/12/2023;VF;2;PR020;VD023;21; R$ 7.242,59 ; R$ 7.242,59 
1000;183500;2023;21/12/2023;VF;1;PR043;VD039;16; R$ 1.368,80 ; R$ 1.368,80 
1000;183501;2023;21/12/2023;VF;1;PR040;VD014;20; R$ 1.624,00 ; R$ 1.624,00 
1000;183502;2023;21/12/2023;VF;1;PR052;VD035;30; R$ 1.721,55 ; R$ 1.721,55 
2000;183502;2023;21/12/2023;VF;2;PR021;VD013;8; R$ 2.689,75 ; R$ 2.689,75 
1000;183503;2023;21/12/2023;VF;1;PR050;VD015;24; R$ 915,94 ; R$ 915,94 
1000;183504;2023;21/12/2023;VF;1;PR036;VD040;12; R$ 1.301,52 ; R$ 1.301,52 
1000;183505;2023;20/12/2023;VF;1;PR023;VD037;12; R$ 3.298,68 ; R$ 3.298,68 
1000;183506;2023;20/12/2023;VF;1;PR052;VD014;20; R$ 1.127,74 ; R$ 1.127,74 
1000;183506;2023;19/12/2023;VF;2;PR051;VD018;6; R$ 221,09 ; R$ 221,09 
2000;183507;2023;19/12/2023;VF;1;PR019;VD010;20; R$ 1.197,60 ; R$ 1.197,60 
1000;183508;2023;19/12/2023;VF;1;PR053;VD043;16; R$ 950,10 ; R$ 950,10 
1000;183509;2023;19/12/2023;VF;1;PR031;VD035;21; R$ 6.122,55 ; R$ 6.122,55 
1000;183509;2023;19/12/2023;VF;2;PR008;VD037;10; R$ 1.078,80 ; R$ 1.078,80 
1000;183510;2023;19/12/2023;VF;1;PR010;VD023;14; R$ 704,03 ; R$ 704,03 
1000;183511;2023;19/12/2023;VF;1;PR012;VD018;10; R$ 577,02 ; R$ 577,02 
2000;183512;2023;19/12/2023;VF;1;PR043;VD033;12; R$ 983,10 ; R$ 983,10 
2000;183513;2023;19/12/2023;VF;1;PR004;VD015;10; R$ 1.725,50 ; R$ 1.725,50 
1000;183513;2023;19/12/2023;VF;2;PR045;VD027;16; R$ 1.334,00 ; R$ 1.334,00 
1000;183514;2023;18/12/2023;VF;1;PR014;VD035;20; R$ 877,80 ; R$ 877,80 
1000;183515;2023;18/12/2023;VF;1;PR026;VD011;15; R$ 6.035,78 ; R$ 6.035,78 
1000;183516;2023;18/12/2023;VF;1;PR014;VD028;30; R$ 1.328,67 ; R$ 1.328,67 
1000;183516;2023;17/12/2023;VF;2;PR024;VD019;30; R$ 8.810,61 ; R$ 8.810,61 
1000;183517;2023;17/12/2023;VF;1;PR023;VD034;18; R$ 5.082,97 ; R$ 5.082,97 
1000;183517;2023;17/12/2023;VF;2;PR010;VD028;20; R$ 1.050,66 ; R$ 1.050,66 
1000;183517;2023;17/12/2023;VF;3;PR042;VD041;24; R$ 1.502,06 ; R$ 1.502,06 
1000;183518;2023;17/12/2023;VF;1;PR057;VD015;24; R$ 2.373,36 ; R$ 2.373,36 
1000;183519;2023;17/12/2023;VF;1;PR034;VD027;6; R$ 598,73 ; R$ 598,73 
1000;183520;2023;17/12/2023;VF;1;PR031;VD024;6; R$ 1.675,80 ; R$ 1.675,80 
1000;183521;2023;17/12/2023;VF;1;PR046;VD038;8; R$ 2.620,70 ; R$ 2.620,70 
1000;183522;2023;16/12/2023;VF;1;PR033;VD014;12; R$ 3.649,00 ; R$ 3.649,00 
1000;183523;2023;16/12/2023;VF;1;PR041;VD035;18; R$ 1.166,08 ; R$ 1.166,08 
1000;183524;2023;16/12/2023;VF;1;PR001;VD045;12; R$ 941,05 ; R$ 941,05 
1000;183525;2023;16/12/2023;VF;1;PR006;VD035;12; R$ 541,04 ; R$ 541,04 
1000;183526;2023;16/12/2023;VF;1;PR049;VD039;10; R$ 388,22 ; R$ 388,22 
1000;183527;2023;16/12/2023;VF;1;PR012;VD034;27; R$ 1.584,36 ; R$ 1.584,36 
1000;183528;2023;15/12/2023;VF;1;PR060;VD019;18; R$ 3.628,80 ; R$ 3.628,80 
1000;183529;2023;15/12/2023;VF;1;PR060;VD042;10; R$ 1.980,00 ; R$ 1.980,00 
1000;183530;2023;15/12/2023;VF;1;PR014;VD010;18; R$ 790,02 ; R$ 790,02 
1000;183530;2023;14/12/2023;VF;2;PR036;VD019;27; R$ 2.953,67 ; R$ 2.953,67 
1000;183531;2023;14/12/2023;VF;1;PR035;VD012;8; R$ 862,82 ; R$ 862,82 
1000;183532;2023;13/12/2023;VF;1;PR006;VD044;16; R$ 746,93 ; R$ 746,93 
2000;183533;2023;13/12/2023;VF;1;PR010;VD049;20; R$ 1.077,60 ; R$ 1.077,60 
1000;183534;2023;13/12/2023;VF;1;PR024;VD041;27; R$ 8.350,59 ; R$ 8.350,59 
1000;183535;2023;13/12/2023;VF;1;PR023;VD038;30; R$ 8.846,46 ; R$ 8.846,46 
1000;183536;2023;12/12/2023;VF;1;PR022;VD044;12; R$ 4.032,00 ; R$ 4.032,00 
1000;183536;2023;12/12/2023;VF;2;PR053;VD010;14; R$ 810,38 ; R$ 810,38 
2000;183537;2023;11/12/2023;VF;1;PR054;VD034;21; R$ 1.236,52 ; R$ 1.236,52 
1000;183538;2023;11/12/2023;VF;1;PR058;VD044;15; R$ 3.240,00 ; R$ 3.240,00 
1000;183539;2023;10/12/2023;VF;1;PR040;VD037;12; R$ 974,40 ; R$ 974,40 
1000;183540;2023;10/12/2023;VF;1;PR031;VD037;24; R$ 6.997,20 ; R$ 6.997,20 
2000;183541;2023;10/12/2023;VF;1;PR009;VD011;21; R$ 2.185,01 ; R$ 2.185,01 
1000;183542;2023;10/12/2023;VF;1;PR029;VD047;24; R$ 6.793,20 ; R$ 6.793,20 
1000;183543;2023;09/12/2023;VF;1;PR017;VD042;27; R$ 912,25 ; R$ 912,25 
1000;183544;2023;09/12/2023;VF;1;PR003;VD032;24; R$ 2.041,92 ; R$ 2.041,92 
1000;183545;2023;09/12/2023;VF;1;PR041;VD023;18; R$ 1.136,43 ; R$ 1.136,43 
1000;183546;2023;09/12/2023;VF;1;PR029;VD036;24; R$ 6.976,80 ; R$ 6.976,80 
1000;183547;2023;09/12/2023;VF;1;PR054;VD034;18; R$ 1.059,88 ; R$ 1.059,88 
1000;183548;2023;08/12/2023;VF;1;PR047;VD034;21; R$ 7.122,84 ; R$ 7.122,84 
1000;183549;2023;08/12/2023;VF;1;PR023;VD018;12; R$ 3.598,56 ; R$ 3.598,56 
1000;183550;2023;08/12/2023;VF;1;PR017;VD043;18; R$ 592,02 ; R$ 592,02 
1000;183551;2023;07/12/2023;VF;1;PR058;VD021;10; R$ 2.070,00 ; R$ 2.070,00 
1000;183552;2023;07/12/2023;VF;1;PR012;VD031;9; R$ 523,72 ; R$ 523,72 
1000;183553;2023;07/12/2023;VF;1;PR010;VD020;27; R$ 1.357,78 ; R$ 1.357,78 
1000;183553;2023;06/12/2023;VF;2;PR038;VD024;24; R$ 4.081,22 ; R$ 4.081,22 
1000;183553;2023;06/12/2023;VF;3;PR024;VD038;18; R$ 5.567,06 ; R$ 5.567,06 
1000;183554;2023;06/12/2023;VF;1;PR029;VD048;8; R$ 2.325,60 ; R$ 2.325,60 
1000;183555;2023;06/12/2023;VF;1;PR040;VD022;18; R$ 1.423,80 ; R$ 1.423,80 
1000;183555;2023;06/12/2023;VF;2;PR045;VD023;16; R$ 1.345,60 ; R$ 1.345,60 
1000;183556;2023;06/12/2023;VF;1;PR059;VD034;18; R$ 3.888,00 ; R$ 3.888,00 
1000;183556;2023;05/12/2023;VF;2;PR031;VD039;9; R$ 2.557,80 ; R$ 2.557,80 
1000;183557;2023;05/12/2023;VF;1;PR059;VD036;15; R$ 2.997,00 ; R$ 2.997,00 
1000;183558;2023;05/12/2023;VF;1;PR058;VD027;15; R$ 3.186,00 ; R$ 3.186,00 
1000;183559;2023;04/12/2023;VF;1;PR005;VD036;27; R$ 7.929,55 ; R$ 7.929,55 
1000;183559;2023;04/12/2023;VF;2;PR017;VD022;18; R$ 592,02 ; R$ 592,02 
1000;183560;2023;04/12/2023;VF;1;PR005;VD047;15; R$ 4.561,25 ; R$ 4.561,25 
1000;183561;2023;04/12/2023;VF;1;PR015;VD022;6; R$ 306,00 ; R$ 306,00 
1000;183562;2023;04/12/2023;VF;1;PR010;VD013;8; R$ 423,86 ; R$ 423,86 
1000;183563;2023;04/12/2023;VF;1;PR057;VD023;27; R$ 2.670,03 ; R$ 2.670,03 
1000;183563;2023;03/12/2023;VF;2;PR024;VD048;16; R$ 4.823,74 ; R$ 4.823,74 
1000;183564;2023;03/12/2023;VF;1;PR050;VD019;18; R$ 681,03 ; R$ 681,03 
2000;183565;2023;02/12/2023;VF;1;PR012;VD028;12; R$ 692,42 ; R$ 692,42 
1000;183566;2023;02/12/2023;VF;1;PR010;VD011;12; R$ 646,56 ; R$ 646,56 
2000;183567;2023;02/12/2023;VF;1;PR054;VD033;20; R$ 1.147,70 ; R$ 1.147,70 
1000;183568;2023;02/12/2023;VF;1;PR007;VD031;20; R$ 1.924,16 ; R$ 1.924,16 
1000;183569;2023;01/12/2023;VF;1;PR057;VD031;30; R$ 3.020,64 ; R$ 3.020,64 
2000;183570;2023;01/12/2023;VF;1;PR020;VD040;18; R$ 5.938,02 ; R$ 5.938,02 
1000;183571;2023;01/12/2023;VF;1;PR053;VD019;12; R$ 670,66 ; R$ 670,66 
2000;183572;2023;30/11/2023;VF;1;PR049;VD016;21; R$ 766,90 ; R$ 766,90 
1000;183572;2023;30/11/2023;VF;2;PR026;VD018;9; R$ 3.589,97 ; R$ 3.589,97 
1000;183573;2023;30/11/2023;VF;1;PR055;VD045;27; R$ 2.815,67 ; R$ 2.815,67 
1000;183573;2023;30/11/2023;VF;2;PR016;VD041;30; R$ 901,32 ; R$ 901,32 
1000;183574;2023;30/11/2023;VF;1;PR002;VD018;18; R$ 1.421,77 ; R$ 1.421,77 
1000;183575;2023;30/11/2023;VF;1;PR021;VD013;20; R$ 7.209,02 ; R$ 7.209,02 
1000;183576;2023;29/11/2023;VF;1;PR042;VD046;30; R$ 1.811,70 ; R$ 1.811,70 
1000;183576;2023;29/11/2023;VF;2;PR015;VD026;24; R$ 1.183,20 ; R$ 1.183,20 
1000;183577;2023;29/11/2023;VF;1;PR015;VD044;18; R$ 918,00 ; R$ 918,00 
1000;183578;2023;28/11/2023;VF;1;PR036;VD035;20; R$ 2.187,90 ; R$ 2.187,90 
1000;183579;2023;28/11/2023;VF;1;PR029;VD040;12; R$ 3.610,80 ; R$ 3.610,80 
1000;183579;2023;28/11/2023;VF;2;PR050;VD011;18; R$ 651,42 ; R$ 651,42 
2000;183580;2023;28/11/2023;VF;1;PR034;VD018;9; R$ 954,74 ; R$ 954,74 
2000;183580;2023;28/11/2023;VF;2;PR027;VD016;10; R$ 1.428,00 ; R$ 1.428,00 
1000;183581;2023;28/11/2023;VF;1;PR015;VD043;18; R$ 872,10 ; R$ 872,10 
1000;183582;2023;28/11/2023;VF;1;PR003;VD031;9; R$ 708,29 ; R$ 708,29 
1000;183583;2023;28/11/2023;VF;1;PR026;VD032;10; R$ 4.128,82 ; R$ 4.128,82 
1000;183583;2023;28/11/2023;VF;2;PR006;VD017;16; R$ 766,08 ; R$ 766,08 
2000;183584;2023;28/11/2023;VF;1;PR050;VD015;27; R$ 1.012,66 ; R$ 1.012,66 
1000;183584;2023;27/11/2023;VF;2;PR009;VD040;30; R$ 3.065,70 ; R$ 3.065,70 
2000;183585;2023;27/11/2023;VF;1;PR013;VD021;15; R$ 706,23 ; R$ 706,23 
1000;183586;2023;26/11/2023;VF;1;PR049;VD049;21; R$ 759,99 ; R$ 759,99 
1000;183587;2023;26/11/2023;VF;1;PR004;VD035;18; R$ 2.923,20 ; R$ 2.923,20 
2000;183588;2023;26/11/2023;VF;1;PR046;VD019;20; R$ 6.725,68 ; R$ 6.725,68 
1000;183589;2023;26/11/2023;VF;1;PR047;VD046;27; R$ 8.844,85 ; R$ 8.844,85 
1000;183590;2023;26/11/2023;VF;1;PR054;VD019;18; R$ 1.077,84 ; R$ 1.077,84 
1000;183591;2023;25/11/2023;VF;1;PR041;VD033;27; R$ 1.778,76 ; R$ 1.778,76 
1000;183592;2023;25/11/2023;VF;1;PR024;VD018;8; R$ 2.453,46 ; R$ 2.453,46 
1000;183593;2023;25/11/2023;VF;1;PR024;VD048;15; R$ 4.678,20 ; R$ 4.678,20 
1000;183594;2023;25/11/2023;VF;1;PR039;VD015;15; R$ 2.430,90 ; R$ 2.430,90 
1000;183595;2023;25/11/2023;VF;1;PR032;VD016;27; R$ 7.897,50 ; R$ 7.897,50 
1000;183595;2023;25/11/2023;VF;2;PR006;VD015;24; R$ 1.139,54 ; R$ 1.139,54 
2000;183596;2023;25/11/2023;VF;1;PR006;VD035;30; R$ 1.340,64 ; R$ 1.340,64 
1000;183597;2023;24/11/2023;VF;1;PR051;VD024;30; R$ 1.135,05 ; R$ 1.135,05 
1000;183597;2023;24/11/2023;VF;2;PR047;VD019;27; R$ 9.157,94 ; R$ 9.157,94 
1000;183598;2023;24/11/2023;VF;1;PR006;VD030;9; R$ 395,01 ; R$ 395,01 
1000;183599;2023;24/11/2023;VF;1;PR050;VD016;27; R$ 1.030,43 ; R$ 1.030,43 
1000;183600;2023;24/11/2023;VF;1;PR019;VD042;18; R$ 1.014,97 ; R$ 1.014,97 
1000;183601;2023;24/11/2023;VF;1;PR044;VD011;27; R$ 2.153,25 ; R$ 2.153,25 
1000;183602;2023;24/11/2023;VF;1;PR017;VD019;18; R$ 613,55 ; R$ 613,55 
2000;183603;2023;23/11/2023;VF;1;PR004;VD033;24; R$ 4.141,20 ; R$ 4.141,20 
2000;183604;2023;23/11/2023;VF;1;PR059;VD028;12; R$ 2.527,20 ; R$ 2.527,20 
2000;183605;2023;23/11/2023;VF;1;PR003;VD040;16; R$ 1.247,84 ; R$ 1.247,84 
2000;183606;2023;22/11/2023;VF;1;PR055;VD018;14; R$ 1.485,15 ; R$ 1.485,15 
2000;183607;2023;22/11/2023;VF;1;PR041;VD031;21; R$ 1.314,31 ; R$ 1.314,31 
1000;183608;2023;22/11/2023;VF;1;PR056;VD040;16; R$ 1.639,78 ; R$ 1.639,78 
1000;183609;2023;22/11/2023;VF;1;PR038;VD028;24; R$ 3.772,56 ; R$ 3.772,56 
1000;183610;2023;22/11/2023;VF;1;PR022;VD045;21; R$ 7.371,00 ; R$ 7.371,00 
1000;183610;2023;22/11/2023;VF;2;PR023;VD024;14; R$ 4.093,36 ; R$ 4.093,36 
2000;183611;2023;22/11/2023;VF;1;PR053;VD019;21; R$ 1.152,69 ; R$ 1.152,69 
2000;183611;2023;21/11/2023;VF;2;PR046;VD047;16; R$ 5.566,08 ; R$ 5.566,08 
1000;183612;2023;21/11/2023;VF;1;PR048;VD027;27; R$ 9.392,76 ; R$ 9.392,76 
1000;183612;2023;20/11/2023;VF;2;PR055;VD033;14; R$ 1.397,05 ; R$ 1.397,05 
1000;183613;2023;20/11/2023;VF;1;PR017;VD036;21; R$ 753,48 ; R$ 753,48 
2000;183613;2023;20/11/2023;VF;2;PR029;VD035;12; R$ 3.610,80 ; R$ 3.610,80 
2000;183614;2023;20/11/2023;VF;1;PR005;VD037;20; R$ 6.185,62 ; R$ 6.185,62 
2000;183615;2023;20/11/2023;VF;1;PR058;VD048;15; R$ 3.105,00 ; R$ 3.105,00 
1000;183616;2023;20/11/2023;VF;1;PR025;VD035;12; R$ 4.102,63 ; R$ 4.102,63 
1000;183617;2023;20/11/2023;VF;1;PR042;VD017;3; R$ 197,64 ; R$ 197,64 
2000;183617;2023;20/11/2023;VF;2;PR046;VD039;15; R$ 4.870,32 ; R$ 4.870,32 
1000;183618;2023;19/11/2023;VF;1;PR006;VD044;27; R$ 1.238,90 ; R$ 1.238,90 
1000;183619;2023;19/11/2023;VF;1;PR053;VD047;12; R$ 676,64 ; R$ 676,64 
1000;183619;2023;18/11/2023;VF;2;PR042;VD018;8; R$ 491,90 ; R$ 491,90 
2000;183619;2023;18/11/2023;VF;3;PR002;VD034;3; R$ 245,35 ; R$ 245,35 
1000;183620;2023;18/11/2023;VF;1;PR016;VD019;16; R$ 472,42 ; R$ 472,42 
1000;183621;2023;18/11/2023;VF;1;PR055;VD029;2; R$ 213,96 ; R$ 213,96 
1000;183621;2023;18/11/2023;VF;2;PR057;VD037;3; R$ 315,55 ; R$ 315,55 
1000;183622;2023;18/11/2023;VF;1;PR011;VD030;7; R$ 380,83 ; R$ 380,83 
1000;183623;2023;18/11/2023;VF;1;PR006;VD047;16; R$ 766,08 ; R$ 766,08 
1000;183623;2023;17/11/2023;VF;2;PR019;VD034;12; R$ 670,66 ; R$ 670,66 
1000;183624;2023;17/11/2023;VF;1;PR006;VD037;10; R$ 462,84 ; R$ 462,84 
1000;183625;2023;17/11/2023;VF;1;PR026;VD032;6; R$ 2.393,32 ; R$ 2.393,32 
1000;183626;2023;17/11/2023;VF;1;PR058;VD027;2; R$ 417,60 ; R$ 417,60 
1000;183627;2023;16/11/2023;VF;1;PR013;VD011;15; R$ 712,22 ; R$ 712,22 
1000;183628;2023;16/11/2023;VF;1;PR058;VD017;7; R$ 1.486,80 ; R$ 1.486,80 
1000;183629;2023;15/11/2023;VF;1;PR030;VD036;9; R$ 2.689,97 ; R$ 2.689,97 
1000;183630;2023;15/11/2023;VF;1;PR015;VD049;30; R$ 1.415,25 ; R$ 1.415,25 
1000;183630;2023;15/11/2023;VF;2;PR001;VD013;16; R$ 1.254,74 ; R$ 1.254,74 
1000;183630;2023;15/11/2023;VF;3;PR053;VD012;3; R$ 166,17 ; R$ 166,17 
1000;183631;2023;15/11/2023;VF;1;PR041;VD037;2; R$ 122,98 ; R$ 122,98 
1000;183631;2023;14/11/2023;VF;2;PR002;VD047;2; R$ 153,78 ; R$ 153,78 
1000;183631;2023;14/11/2023;VF;3;PR021;VD039;27; R$ 9.241,48 ; R$ 9.241,48 
2000;183631;2023;13/11/2023;VF;4;PR035;VD026;6; R$ 608,72 ; R$ 608,72 
1000;183631;2023;13/11/2023;VF;5;PR008;VD036;6; R$ 593,34 ; R$ 593,34 
2000;183631;2023;13/11/2023;VF;6;PR045;VD045;6; R$ 513,30 ; R$ 513,30 
2000;183632;2023;12/11/2023;VF;1;PR037;VD021;9; R$ 1.398,60 ; R$ 1.398,60 
1000;183633;2023;12/11/2023;VF;1;PR016;VD041;2; R$ 57,50 ; R$ 57,50 
1000;183634;2023;12/11/2023;VF;1;PR053;VD013;21; R$ 1.247,00 ; R$ 1.247,00 
1000;183634;2023;12/11/2023;VF;2;PR001;VD019;21; R$ 1.577,65 ; R$ 1.577,65 
1000;183635;2023;12/11/2023;VF;1;PR052;VD032;2; R$ 114,77 ; R$ 114,77 
1000;183636;2023;12/11/2023;VF;1;PR027;VD018;8; R$ 1.056,00 ; R$ 1.056,00 
1000;183637;2023;12/11/2023;VF;1;PR049;VD013;14; R$ 515,87 ; R$ 515,87 
1000;183638;2023;11/11/2023;VF;1;PR021;VD035;7; R$ 2.417,14 ; R$ 2.417,14 
1000;183639;2023;11/11/2023;VF;1;PR055;VD030;10; R$ 1.024,86 ; R$ 1.024,86 
2000;183640;2023;11/11/2023;VF;1;PR022;VD022;8; R$ 2.712,00 ; R$ 2.712,00 
1000;183641;2023;11/11/2023;VF;1;PR043;VD037;27; R$ 2.349,00 ; R$ 2.349,00 
1000;183641;2023;11/11/2023;VF;2;PR008;VD023;6; R$ 593,34 ; R$ 593,34 
1000;183641;2023;11/11/2023;VF;3;PR004;VD017;3; R$ 491,55 ; R$ 491,55 
1000;183642;2023;11/11/2023;VF;1;PR012;VD039;2; R$ 113,45 ; R$ 113,45 
1000;183643;2023;11/11/2023;VF;1;PR024;VD032;18; R$ 5.192,80 ; R$ 5.192,80 
1000;183643;2023;11/11/2023;VF;2;PR047;VD045;8; R$ 2.736,66 ; R$ 2.736,66 
1000;183643;2023;11/11/2023;VF;3;PR030;VD022;6; R$ 1.730,93 ; R$ 1.730,93 
2000;183643;2023;10/11/2023;VF;4;PR006;VD032;7; R$ 318,40 ; R$ 318,40 
1000;183644;2023;10/11/2023;VF;1;PR032;VD014;6; R$ 1.800,00 ; R$ 1.800,00 
1000;183644;2023;10/11/2023;VF;2;PR031;VD038;16; R$ 4.664,80 ; R$ 4.664,80 
1000;183645;2023;09/11/2023;VF;1;PR029;VD027;8; R$ 2.427,60 ; R$ 2.427,60 
2000;183646;2023;09/11/2023;VF;1;PR021;VD011;5; R$ 1.696,24 ; R$ 1.696,24 
1000;183647;2023;09/11/2023;VF;1;PR039;VD017;6; R$ 1.033,68 ; R$ 1.033,68 
2000;183648;2023;09/11/2023;VF;1;PR024;VD021;12; R$ 3.617,81 ; R$ 3.617,81 
1000;183649;2023;08/11/2023;VF;1;PR039;VD042;14; R$ 2.289,28 ; R$ 2.289,28 
1000;183650;2023;08/11/2023;VF;1;PR050;VD042;8; R$ 313,21 ; R$ 313,21 
1000;183650;2023;08/11/2023;VF;2;PR032;VD036;30; R$ 8.925,00 ; R$ 8.925,00 
1000;183651;2023;08/11/2023;VF;1;PR047;VD027;8; R$ 2.481,54 ; R$ 2.481,54 
1000;183652;2023;08/11/2023;VF;1;PR016;VD023;18; R$ 470,86 ; R$ 470,86 
