Empresa;Número do Documento;Ano Fiscal;Data do Documento;Tipo de Documento;Número do Item;Tipo de Conta;Conta Contábil;Valor em Moeda Local;Valor em Moeda Estrangeira;Código do Fornecedor;Nome do Fornecedor;Cidade do Fornecedor;País do Fornecedor;Grupo de Contas do Fornecedor
1000;123487;2024;11/09/2024;PF;1;F;400000;1207.00;1207.00;2005;Fornecedor F;Belo Horizonte;BR;1
1000;123488;2024;11/09/2024;PF;1;F;400000;1462.00;1462.00;2005;Fornecedor F;Belo Horizonte;BR;1
2000;123489;2024;11/09/2024;PF;1;F;400000;1424.00;1424.00;2006;Fornecedor G;Curitiba;BR;1
1000;123490;2024;11/09/2024;PF;1;F;400000;3027.00;3027.00;2007;Fornecedor H;Manaus;BR;4
1000;123491;2024;11/09/2024;PF;1;F;400000;4751.00;4751.00;2003;Fornecedor D;Salvador;BR;3
1000;123492;2024;11/09/2024;PF;1;F;400000;1816.00;1816.00;2006;Fornecedor G;Curitiba;BR;1
1000;123493;2024;11/09/2024;PF;1;F;400000;4391.00;4391.00;2007;Fornecedor H;Manaus;BR;4
1000;123494;2024;10/09/2024;PF;1;F;400000;2076.00;2076.00;2001;Fornecedor B;Rio;BR;1
1000;123494;2024;10/09/2024;PF;2;F;400000;3619.00;3619.00;2003;Fornecedor D;Salvador;BR;3
1000;123494;2024;10/09/2024;PF;3;F;400000;4938.00;4938.00;2004;Fornecedor E;Fortaleza;BR;3
2000;123495;2024;09/09/2024;PF;1;F;400000;4540.00;4540.00;2001;Fornecedor B;Rio;BR;1
1000;123496;2024;09/09/2024;PF;1;F;400000;4216.00;4216.00;2003;Fornecedor D;Salvador;BR;3
1000;123497;2024;09/09/2024;PF;1;F;400000;1116.00;1116.00;2003;Fornecedor D;Salvador;BR;3
1000;123498;2024;08/09/2024;PF;1;F;400000;4786.00;4786.00;2002;Fornecedor C;Brasília;BR;2
1000;123499;2024;08/09/2024;PF;1;F;400000;1907.00;1907.00;2005;Fornecedor F;Belo Horizonte;BR;1
1000;123500;2024;08/09/2024;PF;1;F;400000;1872.00;1872.00;2004;Fornecedor E;Fortaleza;BR;3
1000;123500;2024;07/09/2024;PF;2;F;400000;2278.00;2278.00;2005;Fornecedor F;Belo Horizonte;BR;1
1000;123501;2024;07/09/2024;PF;1;F;400000;3180.00;3180.00;2001;Fornecedor B;Rio;BR;1
1000;123502;2024;07/09/2024;PF;1;F;400000;2076.00;2076.00;2008;Fornecedor I;Recife;BR;3
2000;123503;2024;07/09/2024;PF;1;F;400000;4301.00;4301.00;2003;Fornecedor D;Salvador;BR;3
1000;123504;2024;06/09/2024;PF;1;F;400000;2268.00;2268.00;2008;Fornecedor I;Recife;BR;3
1000;123504;2024;06/09/2024;PF;2;F;400000;2956.00;2956.00;2000;Fornecedor A;São Paulo;BR;1
1000;123504;2024;05/09/2024;PF;3;F;400000;3596.00;3596.00;2007;Fornecedor H;Manaus;BR;4
1000;123505;2024;05/09/2024;PF;1;F;400000;2316.00;2316.00;2000;Fornecedor A;São Paulo;BR;1
1000;123506;2024;05/09/2024;PF;1;F;400000;2874.00;2874.00;2001;Fornecedor B;Rio;BR;1
1000;123506;2024;05/09/2024;PF;2;F;400000;4422.00;4422.00;2001;Fornecedor B;Rio;BR;1
1000;123507;2024;05/09/2024;PF;1;F;400000;3193.00;3193.00;2001;Fornecedor B;Rio;BR;1
1000;123508;2024;05/09/2024;PF;1;F;400000;1710.00;1710.00;2005;Fornecedor F;Belo Horizonte;BR;1
1000;123508;2024;04/09/2024;PF;2;F;400000;1246.00;1246.00;2003;Fornecedor D;Salvador;BR;3
1000;123509;2024;04/09/2024;PF;1;F;400000;4337.00;4337.00;2003;Fornecedor D;Salvador;BR;3
1000;123510;2024;03/09/2024;PF;1;F;400000;3464.00;3464.00;2007;Fornecedor H;Manaus;BR;4
2000;123511;2024;03/09/2024;PF;1;F;400000;2799.00;2799.00;2008;Fornecedor I;Recife;BR;3
1000;123511;2024;03/09/2024;PF;2;F;400000;1372.00;1372.00;2003;Fornecedor D;Salvador;BR;3
1000;123512;2024;03/09/2024;PF;1;F;400000;3236.00;3236.00;2002;Fornecedor C;Brasília;BR;2
1000;123512;2024;03/09/2024;PF;2;F;400000;2308.00;2308.00;2005;Fornecedor F;Belo Horizonte;BR;1
1000;123513;2024;03/09/2024;PF;1;F;400000;4926.00;4926.00;2000;Fornecedor A;São Paulo;BR;1
2000;123514;2024;03/09/2024;PF;1;F;400000;5160.00;5160.00;2007;Fornecedor H;Manaus;BR;4
2000;123514;2024;02/09/2024;PF;2;F;400000;2351.00;2351.00;2007;Fornecedor H;Manaus;BR;4
1000;123515;2024;02/09/2024;PF;1;F;400000;2911.00;2911.00;2001;Fornecedor B;Rio;BR;1
1000;123516;2024;01/09/2024;PF;1;F;400000;2989.00;2989.00;2001;Fornecedor B;Rio;BR;1
1000;123516;2024;01/09/2024;PF;2;F;400000;4790.00;4790.00;2001;Fornecedor B;Rio;BR;1
2000;123517;2024;31/08/2024;PF;1;F;400000;2060.00;2060.00;2005;Fornecedor F;Belo Horizonte;BR;1
1000;123518;2024;31/08/2024;PF;1;F;400000;1743.00;1743.00;2005;Fornecedor F;Belo Horizonte;BR;1
2000;123519;2024;31/08/2024;PF;1;F;400000;2814.00;2814.00;2004;Fornecedor E;Fortaleza;BR;3
1000;123520;2024;31/08/2024;PF;1;F;400000;2083.00;2083.00;2002;Fornecedor C;Brasília;BR;2
1000;123520;2024;30/08/2024;PF;2;F;400000;4389.00;4389.00;2003;Fornecedor D;Salvador;BR;3
1000;123521;2024;30/08/2024;PF;1;F;400000;4527.00;4527.00;2004;Fornecedor E;Fortaleza;BR;3
2000;123522;2024;30/08/2024;PF;1;F;400000;4528.00;4528.00;2001;Fornecedor B;Rio;BR;1
1000;123522;2024;29/08/2024;PF;2;F;400000;2583.00;2583.00;2003;Fornecedor D;Salvador;BR;3
1000;123522;2024;29/08/2024;PF;3;F;400000;1219.00;1219.00;2001;Fornecedor B;Rio;BR;1
1000;123523;2024;29/08/2024;PF;1;F;400000;4696.00;4696.00;2003;Fornecedor D;Salvador;BR;3
1000;123523;2024;29/08/2024;PF;2;F;400000;4720.00;4720.00;2001;Fornecedor B;Rio;BR;1
1000;123524;2024;29/08/2024;PF;1;F;400000;4666.00;4666.00;2001;Fornecedor B;Rio;BR;1
1000;123524;2024;29/08/2024;PF;2;F;400000;1285.00;1285.00;2004;Fornecedor E;Fortaleza;BR;3
1000;123524;2024;28/08/2024;PF;3;F;400000;4190.00;4190.00;2005;Fornecedor F;Belo Horizonte;BR;1
1000;123525;2024;28/08/2024;PF;1;F;400000;4999.00;4999.00;2003;Fornecedor D;Salvador;BR;3
1000;123526;2024;28/08/2024;PF;1;F;400000;2693.00;2693.00;2007;Fornecedor H;Manaus;BR;4
1000;123527;2024;28/08/2024;PF;1;F;400000;4392.00;4392.00;2003;Fornecedor D;Salvador;BR;3
1000;123528;2024;28/08/2024;PF;1;F;400000;1876.00;1876.00;2008;Fornecedor I;Recife;BR;3
1000;123528;2024;28/08/2024;PF;2;F;400000;3224.00;3224.00;2003;Fornecedor D;Salvador;BR;3
1000;123529;2024;28/08/2024;PF;1;F;400000;4090.00;4090.00;2004;Fornecedor E;Fortaleza;BR;3
1000;123530;2024;28/08/2024;PF;1;F;400000;2925.00;2925.00;2001;Fornecedor B;Rio;BR;1
1000;123531;2024;28/08/2024;PF;1;F;400000;1961.00;1961.00;2004;Fornecedor E;Fortaleza;BR;3
2000;123531;2024;27/08/2024;PF;2;F;400000;1803.00;1803.00;2006;Fornecedor G;Curitiba;BR;1
1000;123531;2024;27/08/2024;PF;3;F;400000;3761.00;3761.00;2002;Fornecedor C;Brasília;BR;2
1000;123531;2024;26/08/2024;PF;4;F;400000;2724.00;2724.00;2007;Fornecedor H;Manaus;BR;4
1000;123532;2024;26/08/2024;PF;1;F;400000;4546.00;4546.00;2003;Fornecedor D;Salvador;BR;3
1000;123532;2024;26/08/2024;PF;2;F;400000;5075.00;5075.00;2003;Fornecedor D;Salvador;BR;3
1000;123533;2024;25/08/2024;PF;1;F;400000;4957.00;4957.00;2003;Fornecedor D;Salvador;BR;3
1000;123534;2024;25/08/2024;PF;1;F;400000;4103.00;4103.00;2007;Fornecedor H;Manaus;BR;4
1000;123535;2024;24/08/2024;PF;1;F;400000;3565.00;3565.00;2003;Fornecedor D;Salvador;BR;3
1000;123536;2024;24/08/2024;PF;1;F;400000;2319.00;2319.00;2005;Fornecedor F;Belo Horizonte;BR;1
1000;123537;2024;24/08/2024;PF;1;F;400000;4989.00;4989.00;2002;Fornecedor C;Brasília;BR;2
1000;123538;2024;23/08/2024;PF;1;F;400000;1802.00;1802.00;2003;Fornecedor D;Salvador;BR;3
2000;123538;2024;23/08/2024;PF;2;F;400000;5217.00;5217.00;2003;Fornecedor D;Salvador;BR;3
1000;123539;2024;23/08/2024;PF;1;F;400000;3825.00;3825.00;2007;Fornecedor H;Manaus;BR;4
1000;123539;2024;23/08/2024;PF;2;F;400000;1485.00;1485.00;2005;Fornecedor F;Belo Horizonte;BR;1
1000;123540;2024;22/08/2024;PF;1;F;400000;5242.00;5242.00;2007;Fornecedor H;Manaus;BR;4
1000;123541;2024;22/08/2024;PF;1;F;400000;1258.00;1258.00;2003;Fornecedor D;Salvador;BR;3
1000;123541;2024;21/08/2024;PF;2;F;400000;1919.00;1919.00;2000;Fornecedor A;São Paulo;BR;1
2000;123542;2024;21/08/2024;PF;1;F;400000;3714.00;3714.00;2002;Fornecedor C;Brasília;BR;2
2000;123543;2024;21/08/2024;PF;1;F;400000;2485.00;2485.00;2006;Fornecedor G;Curitiba;BR;1
2000;123544;2024;21/08/2024;PF;1;F;400000;1283.00;1283.00;2003;Fornecedor D;Salvador;BR;3
1000;123545;2024;21/08/2024;PF;1;F;400000;1905.00;1905.00;2006;Fornecedor G;Curitiba;BR;1
1000;123546;2024;20/08/2024;PF;1;F;400000;3791.00;3791.00;2007;Fornecedor H;Manaus;BR;4
1000;123547;2024;20/08/2024;PF;1;F;400000;4309.00;4309.00;2005;Fornecedor F;Belo Horizonte;BR;1
1000;123547;2024;20/08/2024;PF;2;F;400000;2307.00;2307.00;2001;Fornecedor B;Rio;BR;1
1000;123548;2024;20/08/2024;PF;1;F;400000;1116.00;1116.00;2007;Fornecedor H;Manaus;BR;4
1000;123549;2024;20/08/2024;PF;1;F;400000;3810.00;3810.00;2008;Fornecedor I;Recife;BR;3
1000;123550;2024;19/08/2024;PF;1;F;400000;3965.00;3965.00;2008;Fornecedor I;Recife;BR;3
1000;123551;2024;19/08/2024;PF;1;F;400000;4178.00;4178.00;2000;Fornecedor A;São Paulo;BR;1
1000;123552;2024;19/08/2024;PF;1;F;400000;4293.00;4293.00;2001;Fornecedor B;Rio;BR;1
1000;123553;2024;19/08/2024;PF;1;F;400000;4138.00;4138.00;2006;Fornecedor G;Curitiba;BR;1
1000;123553;2024;19/08/2024;PF;2;F;400000;2357.00;2357.00;2007;Fornecedor H;Manaus;BR;4
1000;123553;2024;19/08/2024;PF;3;F;400000;2880.00;2880.00;2006;Fornecedor G;Curitiba;BR;1
1000;123554;2024;19/08/2024;PF;1;F;400000;5105.00;5105.00;2000;Fornecedor A;São Paulo;BR;1
1000;123555;2024;19/08/2024;PF;1;F;400000;2254.00;2254.00;2002;Fornecedor C;Brasília;BR;2
1000;123556;2024;18/08/2024;PF;1;F;400000;1779.00;1779.00;2001;Fornecedor B;Rio;BR;1
2000;123556;2024;18/08/2024;PF;2;F;400000;3436.00;3436.00;2002;Fornecedor C;Brasília;BR;2
1000;123557;2024;18/08/2024;PF;1;F;400000;2071.00;2071.00;2001;Fornecedor B;Rio;BR;1
1000;123557;2024;18/08/2024;PF;2;F;400000;2511.00;2511.00;2008;Fornecedor I;Recife;BR;3
1000;123558;2024;17/08/2024;PF;1;F;400000;5023.00;5023.00;2007;Fornecedor H;Manaus;BR;4
1000;123559;2024;17/08/2024;PF;1;F;400000;1148.00;1148.00;2007;Fornecedor H;Manaus;BR;4
1000;123560;2024;17/08/2024;PF;1;F;400000;2956.00;2956.00;2004;Fornecedor E;Fortaleza;BR;3
1000;123561;2024;16/08/2024;PF;1;F;400000;2715.00;2715.00;2002;Fornecedor C;Brasília;BR;2
1000;123562;2024;16/08/2024;PF;1;F;400000;4986.00;4986.00;2000;Fornecedor A;São Paulo;BR;1
1000;123563;2024;16/08/2024;PF;1;F;400000;3659.00;3659.00;2001;Fornecedor B;Rio;BR;1
1000;123564;2024;16/08/2024;PF;1;F;400000;1949.00;1949.00;2002;Fornecedor C;Brasília;BR;2
1000;123565;2024;16/08/2024;PF;1;F;400000;1686.00;1686.00;2007;Fornecedor H;Manaus;BR;4
1000;123565;2024;16/08/2024;PF;2;F;400000;1309.00;1309.00;2006;Fornecedor G;Curitiba;BR;1
1000;123566;2024;16/08/2024;PF;1;F;400000;4074.00;4074.00;2005;Fornecedor F;Belo Horizonte;BR;1
1000;123567;2024;15/08/2024;PF;1;F;400000;1518.00;1518.00;2003;Fornecedor D;Salvador;BR;3
1000;123567;2024;15/08/2024;PF;2;F;400000;3059.00;3059.00;2002;Fornecedor C;Brasília;BR;2
1000;123568;2024;15/08/2024;PF;1;F;400000;1521.00;1521.00;2004;Fornecedor E;Fortaleza;BR;3
1000;123569;2024;15/08/2024;PF;1;F;400000;2373.00;2373.00;2004;Fornecedor E;Fortaleza;BR;3
1000;123570;2024;15/08/2024;PF;1;F;400000;5177.00;5177.00;2002;Fornecedor C;Brasília;BR;2
1000;123570;2024;15/08/2024;PF;2;F;400000;5028.00;5028.00;2007;Fornecedor H;Manaus;BR;4
1000;123571;2024;15/08/2024;PF;1;F;400000;1793.00;1793.00;2003;Fornecedor D;Salvador;BR;3
1000;123572;2024;14/08/2024;PF;1;F;400000;3534.00;3534.00;2005;Fornecedor F;Belo Horizonte;BR;1
2000;123572;2024;14/08/2024;PF;2;F;400000;4240.00;4240.00;2001;Fornecedor B;Rio;BR;1
1000;123573;2024;14/08/2024;PF;1;F;400000;5108.00;5108.00;2004;Fornecedor E;Fortaleza;BR;3
1000;123574;2024;14/08/2024;PF;1;F;400000;958.00;958.00;2002;Fornecedor C;Brasília;BR;2
1000;123575;2024;14/08/2024;PF;1;F;400000;1676.00;1676.00;2005;Fornecedor F;Belo Horizonte;BR;1
2000;123576;2024;14/08/2024;PF;1;F;400000;3132.00;3132.00;2008;Fornecedor I;Recife;BR;3
1000;123577;2024;14/08/2024;PF;1;F;400000;3131.00;3131.00;2003;Fornecedor D;Salvador;BR;3
1000;123578;2024;14/08/2024;PF;1;F;400000;2009.00;2009.00;2002;Fornecedor C;Brasília;BR;2
1000;123579;2024;14/08/2024;PF;1;F;400000;3995.00;3995.00;2007;Fornecedor H;Manaus;BR;4
1000;123580;2024;14/08/2024;PF;1;F;400000;1948.00;1948.00;2005;Fornecedor F;Belo Horizonte;BR;1
1000;123581;2024;14/08/2024;PF;1;F;400000;3284.00;3284.00;2001;Fornecedor B;Rio;BR;1
1000;123581;2024;14/08/2024;PF;2;F;400000;3924.00;3924.00;2002;Fornecedor C;Brasília;BR;2
1000;123582;2024;14/08/2024;PF;1;F;400000;5104.00;5104.00;2007;Fornecedor H;Manaus;BR;4
1000;123583;2024;14/08/2024;PF;1;F;400000;3075.00;3075.00;2000;Fornecedor A;São Paulo;BR;1
2000;123584;2024;14/08/2024;PF;1;F;400000;3473.00;3473.00;2007;Fornecedor H;Manaus;BR;4
1000;123585;2024;13/08/2024;PF;1;F;400000;1149.00;1149.00;2006;Fornecedor G;Curitiba;BR;1
1000;123586;2024;13/08/2024;PF;1;F;400000;4959.00;4959.00;2002;Fornecedor C;Brasília;BR;2
1000;123587;2024;13/08/2024;PF;1;F;400000;2266.00;2266.00;2003;Fornecedor D;Salvador;BR;3
1000;123587;2024;12/08/2024;PF;2;F;400000;3165.00;3165.00;2005;Fornecedor F;Belo Horizonte;BR;1
1000;123587;2024;12/08/2024;PF;3;F;400000;5054.00;5054.00;2002;Fornecedor C;Brasília;BR;2
1000;123587;2024;11/08/2024;PF;4;F;400000;2463.00;2463.00;2000;Fornecedor A;São Paulo;BR;1
1000;123588;2024;11/08/2024;PF;1;F;400000;4483.00;4483.00;2004;Fornecedor E;Fortaleza;BR;3
1000;123589;2024;11/08/2024;PF;1;F;400000;2016.00;2016.00;2002;Fornecedor C;Brasília;BR;2
2000;123590;2024;11/08/2024;PF;1;F;400000;1045.00;1045.00;2003;Fornecedor D;Salvador;BR;3
1000;123591;2024;11/08/2024;PF;1;F;400000;1711.00;1711.00;2002;Fornecedor C;Brasília;BR;2
1000;123592;2024;11/08/2024;PF;1;F;400000;3957.00;3957.00;2001;Fornecedor B;Rio;BR;1
1000;123593;2024;10/08/2024;PF;1;F;400000;1490.00;1490.00;2007;Fornecedor H;Manaus;BR;4
1000;123593;2024;10/08/2024;PF;2;F;400000;1421.00;1421.00;2008;Fornecedor I;Recife;BR;3
1000;123594;2024;09/08/2024;PF;1;F;400000;1485.00;1485.00;2003;Fornecedor D;Salvador;BR;3
1000;123595;2024;09/08/2024;PF;1;F;400000;4847.00;4847.00;2006;Fornecedor G;Curitiba;BR;1
2000;123595;2024;09/08/2024;PF;2;F;400000;1589.00;1589.00;2007;Fornecedor H;Manaus;BR;4
1000;123596;2024;09/08/2024;PF;1;F;400000;5020.00;5020.00;2007;Fornecedor H;Manaus;BR;4
1000;123597;2024;08/08/2024;PF;1;F;400000;1522.00;1522.00;2001;Fornecedor B;Rio;BR;1
1000;123598;2024;08/08/2024;PF;1;F;400000;4355.00;4355.00;2001;Fornecedor B;Rio;BR;1
1000;123599;2024;08/08/2024;PF;1;F;400000;2025.00;2025.00;2001;Fornecedor B;Rio;BR;1
1000;123600;2024;08/08/2024;PF;1;F;400000;3824.00;3824.00;2004;Fornecedor E;Fortaleza;BR;3
2000;123601;2024;07/08/2024;PF;1;F;400000;1145.00;1145.00;2004;Fornecedor E;Fortaleza;BR;3
2000;123601;2024;07/08/2024;PF;2;F;400000;3428.00;3428.00;2003;Fornecedor D;Salvador;BR;3
1000;123601;2024;07/08/2024;PF;3;F;400000;3717.00;3717.00;2001;Fornecedor B;Rio;BR;1
1000;123602;2024;06/08/2024;PF;1;F;400000;5173.00;5173.00;2000;Fornecedor A;São Paulo;BR;1
2000;123603;2024;06/08/2024;PF;1;F;400000;3894.00;3894.00;2007;Fornecedor H;Manaus;BR;4
1000;123604;2024;06/08/2024;PF;1;F;400000;3946.00;3946.00;2002;Fornecedor C;Brasília;BR;2
2000;123604;2024;05/08/2024;PF;2;F;400000;2758.00;2758.00;2000;Fornecedor A;São Paulo;BR;1
1000;123604;2024;05/08/2024;PF;3;F;400000;3332.00;3332.00;2001;Fornecedor B;Rio;BR;1
1000;123605;2024;05/08/2024;PF;1;F;400000;2771.00;2771.00;2003;Fornecedor D;Salvador;BR;3
1000;123605;2024;04/08/2024;PF;2;F;400000;3703.00;3703.00;2008;Fornecedor I;Recife;BR;3
1000;123606;2024;04/08/2024;PF;1;F;400000;4747.00;4747.00;2005;Fornecedor F;Belo Horizonte;BR;1
1000;123606;2024;04/08/2024;PF;2;F;400000;4367.00;4367.00;2005;Fornecedor F;Belo Horizonte;BR;1
